user_id,place_id,rating,liked,visited,interaction_type
U9,377,4.6,1,1,liked
U18,378,4.8,1,0,liked
U4,691,4.7,1,1,visited
U2,20,4.5,1,1,visited
U11,66,4.7,1,1,visited
U13,311,4.7,1,1,visited
U14,121,4.7,1,1,visited
U12,260,4.6,1,1,visited
U20,380,4.7,1,1,visited
U10,547,4.7,1,1,liked
U11,718,4.7,1,1,visited
U7,106,4.7,1,1,liked
U6,593,4.9,1,1,liked
U18,66,4.5,1,1,visited
U14,47,4.7,1,1,visited
U15,718,4.7,1,1,visited
U17,328,4.6,1,0,liked
U6,394,4.7,1,1,visited
U8,130,4.8,1,1,visited
U5,628,4.5,1,1,liked
U20,758,4.4,1,1,visited
U13,757,4.6,1,1,visited
U1,246,4.5,1,0,liked
U8,770,4.8,1,0,liked
U17,513,4.6,1,1,visited
U4,575,4.7,1,1,liked
U17,787,4.6,1,1,liked
U20,3,4.8,1,0,liked
U14,665,4.8,1,1,visited
U16,596,4.7,1,1,visited
U9,83,4.9,1,1,visited
U9,16,4.6,1,1,visited
U8,394,4.5,1,1,visited
U5,670,5,1,1,visited
U7,359,4.4,1,1,visited
U18,306,4.6,1,1,visited
U14,627,4.7,1,0,liked
U19,648,4.7,1,1,liked
U16,460,4.7,1,0,liked
U10,731,4.6,1,0,liked
U14,328,4.6,1,0,liked
U18,100,4.6,1,0,liked
U16,478,4.8,1,1,liked
U1,62,4.6,1,1,liked
U6,215,4.8,1,0,liked
U20,13,4.7,1,1,liked
U19,285,4.8,1,1,visited
U14,136,4.5,1,0,liked
U6,495,4.7,1,1,visited
U7,621,4.7,1,1,liked
U9,43,4.6,1,1,visited
U16,19,4.5,1,0,liked
U2,460,4.8,1,1,visited
U2,27,4.5,1,0,liked
U7,756,4.4,1,1,visited
U5,299,4.6,1,1,visited
U15,16,4.7,1,1,visited
U6,719,4.6,1,1,visited
U10,759,4.5,1,1,visited
U19,246,4.8,1,0,liked
U13,404,5,1,0,liked
U7,326,4.6,1,1,visited
U4,404,5,1,0,liked
U20,713,4.7,1,0,liked
U19,22,4.5,1,1,liked
U12,713,4.7,1,1,visited
U1,544,4.9,1,0,liked
U4,283,4.6,1,0,liked
U15,314,4.9,1,1,visited
U17,713,5,1,1,liked
U14,685,4.8,1,1,visited
U8,594,4.4,1,1,liked
U8,478,4.9,1,1,liked
U11,136,4.4,1,1,visited
U6,774,5,1,1,visited
U11,358,4.6,1,0,liked
U9,176,4.6,1,1,visited
U3,626,4.6,1,0,liked
U16,392,4.7,1,0,liked
U16,28,4.7,1,0,liked
U15,528,4.4,1,1,visited
U13,702,4.9,1,1,visited
U16,349,4.7,1,1,liked
U18,761,4.7,1,1,liked
U9,19,4.6,1,1,visited
U7,719,4.5,1,1,visited
U7,245,4.8,1,0,liked
U9,97,4.8,1,1,visited
U4,765,5,1,1,visited
U6,37,4.6,1,1,visited
U9,46,4.4,1,0,liked
U18,270,4.6,1,1,visited
U16,354,4.4,1,0,liked
U19,714,4.8,1,1,liked
U11,380,4.7,1,0,liked
U9,759,4.7,1,1,visited
U13,488,4.9,1,1,visited
U5,687,4.5,1,0,liked
U10,38,4.4,1,0,liked
U4,67,4.7,1,0,liked
U20,621,4.7,1,0,liked
U8,486,4.7,1,1,liked
U10,102,4.6,1,0,liked
U10,307,4.7,1,1,visited
U7,722,4.8,1,1,visited
U6,143,4.6,1,1,visited
U6,136,4.4,1,1,liked
U10,509,4.4,1,1,visited
U3,81,4.7,1,1,visited
U19,202,4.7,1,0,liked
U7,109,4.6,1,1,visited
U5,331,4.6,1,0,liked
U3,621,4.5,1,1,visited
U20,37,4.8,1,0,liked
U15,68,4.6,1,1,visited
U13,516,4.6,1,1,liked
U15,774,4.8,1,1,liked
U11,231,4.7,1,1,visited
U8,569,5,1,0,liked
U19,483,4.6,1,0,liked
U9,24,4.6,1,1,visited
U16,675,4.8,1,1,visited
U6,343,4.6,1,1,liked
U3,252,4.8,1,1,visited
U11,306,4.7,1,1,visited
U11,179,4.7,1,1,visited
U13,621,4.7,1,1,visited
U11,699,4.8,1,1,liked
U17,464,4.5,1,1,liked
U14,45,4.4,1,1,visited
U20,690,4.6,1,1,visited
U7,685,4.6,1,1,visited
U15,692,5,1,1,visited
U20,463,4.7,1,0,liked
U10,719,4.6,1,1,liked
U3,791,4.5,1,0,liked
U4,28,4.6,1,0,liked
U5,241,4.8,1,0,liked
U10,269,4.6,1,0,liked
U14,511,5,1,0,liked
U8,429,4.8,1,1,liked
U7,347,4.9,1,1,visited
U3,43,4.5,1,0,liked
U14,302,4.7,1,0,liked
U17,690,4.5,1,0,liked
U10,112,4.9,1,1,liked
U5,257,4.7,1,1,visited
U11,516,4.7,1,0,liked
U15,83,4.8,1,0,liked
U8,103,4.8,1,1,liked
U2,524,4.6,1,0,liked
U13,27,4.7,1,0,liked
U5,328,4.6,1,0,liked
U5,103,4.8,1,0,liked
U11,284,4.8,1,0,liked
U15,740,4.5,1,1,liked
U1,511,5,1,1,visited
U16,312,4.8,1,1,liked
U3,647,4.6,1,0,liked
U18,32,4.9,1,0,liked
U16,248,4.8,1,1,visited
U10,137,4.5,1,0,liked
U14,102,4.4,1,0,liked
U4,761,4.8,1,1,visited
U1,786,4.4,1,1,visited
U10,528,4.5,1,1,visited
U8,16,4.6,1,1,visited
U6,281,4.7,1,1,liked
U20,488,5,1,1,visited
U8,376,4.8,1,1,liked
U9,307,4.8,1,1,liked
U10,336,4.8,1,1,visited
U15,259,4.7,1,0,liked
U10,32,5,1,0,liked
U9,617,4.7,1,0,liked
U7,513,4.6,1,0,liked
U4,773,4.9,1,1,visited
U19,20,4.6,1,0,liked
U10,260,4.4,1,0,liked
U13,486,4.6,1,1,visited
U20,756,4.7,1,1,visited
U8,336,4.7,1,0,liked
U8,729,5,1,1,visited
U5,749,5,1,1,visited
U10,683,4.8,1,1,visited
U5,437,4.5,1,0,liked
U11,593,5,1,1,visited
U5,773,5,1,0,liked
U12,259,4.8,1,1,visited
U6,275,4.8,1,0,liked
U16,761,4.7,1,0,liked
U11,483,4.4,1,1,visited
U5,46,4.5,1,0,liked
U5,2,4.8,1,1,visited
